;D##LENGTH##MILLIMETERS;LG##LENGTH##MILLIMETERS;l##LENGTH##MILLIMETERS
M5 x ]4[;5;4;12
M5 x ]6[;5;6;14
M5 x ]8[;5;8;16
M5 x ]10[;5;10;18
M5 x ]12[;5;12;20
M5 x ]14[;5;14;22
M5 x ]16[;5;16;25
M5 x ]18[;5;18;25
M5 x ]20[;5;20;30
M5 x ]22[;5;22;30
M5 x ]25[;5;25;35
M5 x ]30[;5;30;40
M5 x ]35[;5;35;45
M5 x ]40[;5;40;50
M5 x ]45[;5;45;55
M5 x ]50[;5;50;60
M5 x ]55[;5;55;65
M5 x ]60[;5;60;70
M5 x ]65[;5;65;80
M5 x ]70[;5;70;80
M5 x ]75[;5;75;90
M5 x ]80[;5;80;90
M5 x ]85[;5;85;100
M5 x ]90[;5;90;100
M6 x ]0[;6;0;8
M6 x ]2[;6;2;10
M6 x ]4[;6;4;12
M6 x ]6[;6;6;14
M6 x ]8[;6;8;16
M6 x ]10[;6;10;18
M6 x ]12[;6;12;20
M6 x ]14[;6;14;22
M6 x ]16[;6;16;25
M6 x ]18[;6;18;28
M6 x ]20[;6;20;28
M6 x ]22[;6;22;30
M6 x ]25[;6;25;35
M6 x ]30[;6;30;40
M6 x ]35[;6;35;45
M6 x ]40[;6;40;50
M6 x ]45[;6;45;55
M6 x ]50[;6;50;60
M6 x ]55[;6;55;65
M6 x ]60[;6;60;70
M6 x ]65[;6;65;75
M6 x ]70[;6;70;80
M6 x ]75[;6;75;85
M6 x ]80[;6;80;90
M6 x ]85[;6;85;100
M6 x ]90[;6;90;100
M6 x ]95[;6;95;110
M6 x ]100[;6;100;110
M6 x ]110[;6;110;120
M6 x ]120[;6;120;130
M6 x ]130[;6;130;140
M6 x ]140[;6;140;150
M8 x ]0[;8;0;10
M8 x ]2[;8;2;12
M8 x ]4[;8;4;14
M8 x ]6[;8;6;16
M8 x ]8[;8;8;18
M8 x ]10[;8;10;20
M8 x ]12[;8;12;22
M8 x ]14[;8;14;25
M8 x ]16[;8;16;30
M8 x ]18[;8;18;30
M8 x ]20[;8;20;30
M8 x ]22[;8;22;35
M8 x ]25[;8;25;35
M8 x ]30[;8;30;40
M8 x ]35[;8;35;45
M8 x ]40[;8;40;50
M8 x ]45[;8;45;55
M8 x ]50[;8;50;60
M8 x ]55[;8;55;65
M8 x ]60[;8;60;70
M8 x ]65[;8;65;75
M8 x ]70[;8;70;80
M8 x ]75[;8;75;85
M8 x ]80[;8;80;90
M8 x ]85[;8;85;95
M8 x ]90[;8;90;100
M8 x ]95[;8;95;110
M8 x ]100[;8;100;110
M8 x ]110[;8;110;120
M8 x ]120[;8;120;130
M8 x ]130[;8;130;140
M8 x ]140[;8;140;150
M8 x ]150[;8;150;160
M8 x ]160[;8;160;170
M8 x ]170[;8;170;180
M8 x ]180[;8;180;190
M8 x ]190[;8;190;200
M10 x ]0[;10;0;12
M10 x ]2[;10;2;16
M10 x ]4[;10;4;16
M10 x ]6[;10;6;18
M10 x ]8[;10;8;20
M10 x ]10[;10;10;22
M10 x ]12[;10;12;25
M10 x ]14[;10;14;28
M10 x ]16[;10;16;28
M10 x ]18[;10;18;30
M10 x ]20[;10;20;35
M10 x ]22[;10;22;35
M10 x ]25[;10;25;40
M10 x ]30[;10;30;45
M10 x ]35[;10;35;50
M10 x ]40[;10;40;55
M10 x ]45[;10;45;60
M10 x ]50[;10;50;65
M10 x ]55[;10;55;70
M10 x ]60[;10;60;75
M10 x ]65[;10;65;80
M10 x ]70[;10;70;85
M10 x ]75[;10;75;90
M10 x ]80[;10;80;100
M10 x ]85[;10;85;100
M10 x ]90[;10;90;110
M10 x ]95[;10;95;110
M10 x ]100[;10;100;120
M10 x ]110[;10;110;130
