,D##LENGTH##MILLIMETERS,LG##LENGTH##MILLIMETERS,l##LENGTH##MILLIMETERS
M64 x ]50[,64,50,300
M64 x ]55[,64,55,300
M64 x ]60[,64,60,300
M64 x ]65[,64,65,300
M64 x ]70[,64,70,300
M64 x ]75[,64,75,300
M64 x ]80[,64,80,300
M64 x ]85[,64,85,300
M64 x ]90[,64,90,300
M64 x ]95[,64,95,300
M64 x ]100[,64,100,300
M64 x ]110[,64,110,300
M64 x ]120[,64,120,300
M64 x ]130[,64,130,300
M64 x ]140[,64,140,300
M64 x ]150[,64,150,300
M64 x ]160[,64,160,300
M64 x ]170[,64,170,300
M64 x ]180[,64,180,300
M64 x ]190[,64,190,300
M64 x ]200[,64,200,300
